                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                  0.809,                 1.4073,                0.70286,                 1.0793,                0.82978,                0.73494,                0.78651,                0.58971,                0.74394,                0.65863,                0.67059,                0.21785,                0.90715,                  1.166,                0.90341,                 1.0123,              0.0011684,              0.0011684,              0.0011684
                     45,                0.82919,                 1.4246,                0.71418,                 1.0796,                  0.809,                0.73896,                0.77071,                0.58536,                0.75502,                0.65602,                0.64812,                0.21315,                0.92714,                 1.1593,                0.95308,                 1.0362,              0.0011486,              0.0011486,              0.0011486
                     46,                0.80808,                 1.4053,                0.69141,                 1.0778,                0.78113,                0.76305,                 0.7745,                0.57817,                0.70684,                0.68273,                0.63533,                0.21004,                0.92857,                 1.1698,                0.91054,                 1.0193,              0.0011288,              0.0011288,              0.0011288
                     47,                0.81474,                 1.4136,                0.69409,                 1.0762,                 0.8658,                0.71084,                0.78005,                0.60174,                0.72201,                0.69478,                 0.6502,                0.22605,                0.83134,                 1.1745,                0.91024,                0.98269,               0.001109,               0.001109,               0.001109
                     48,                0.81948,                 1.4074,                0.70398,                 1.0785,                0.80324,                0.78694,                0.79444,                0.61299,                0.72251,                0.71084,                0.65345,                0.22258,                0.90208,                 1.1759,                0.87456,                 1.0009,              0.0010892,              0.0010892,              0.0010892
                     49,                 0.8089,                 1.4132,                0.68891,                 1.0792,                0.83255,                0.71884,                0.78939,                0.61394,                 0.7641,                0.64257,                0.64751,                 0.2183,                 0.8519,                 1.1765,                0.91317,                0.99057,              0.0010694,              0.0010694,              0.0010694
                     50,                0.79055,                 1.3616,                0.67026,                 1.0716,                0.79625,                0.76906,                0.78295,                0.59734,                0.71241,                0.68644,                0.66051,                0.21444,                0.91022,                 1.1575,                0.88763,                 1.0112,              0.0010496,              0.0010496,              0.0010496
                     51,                0.79083,                 1.4025,                0.66205,                 1.0672,                0.84081,                 0.7424,                0.80212,                0.60421,                0.74904,                0.65926,                0.65501,                0.22294,                0.90131,                 1.1613,                0.87781,                 1.0347,              0.0010298,              0.0010298,              0.0010298
                     52,                0.80579,                 1.4212,                0.66386,                  1.071,                0.85119,                0.71486,                0.80149,                0.61412,                0.75353,                0.65462,                0.64963,                 0.2285,                0.86435,                 1.1768,                0.88063,                0.98385,                0.00101,                0.00101,                0.00101
                     53,                0.77719,                 1.3817,                0.65601,                 1.0579,                0.83575,                0.73896,                0.79404,                0.58067,                0.73095,                 0.6506,                0.62386,                0.21716,                0.92357,                 1.1672,                0.94187,                 1.0384,              0.0009902,              0.0009902,              0.0009902
