                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.86603,                 1.4406,                0.75988,                 1.0992,                 0.8335,                0.74387,                0.78554,                0.56815,                0.74492,                0.66852,                0.64312,                 0.2073,                 1.0232,                 1.1885,                0.91284,                 1.1052,              0.0013664,              0.0013664,              0.0013664
                     35,                0.85524,                 1.4398,                0.76022,                 1.0936,                0.83441,                0.70683,                0.77137,                0.57872,                 0.7842,                0.62249,                  0.661,                0.21343,                0.97364,                 1.1552,                0.97886,                  1.075,              0.0013466,              0.0013466,              0.0013466
                     36,                0.85341,                 1.4515,                0.74224,                 1.0943,                 0.8123,                0.74737,                0.75878,                0.57846,                0.72402,                 0.6747,                0.60682,                 0.2072,                0.95194,                 1.1718,                0.97616,                 1.0687,              0.0013268,              0.0013268,              0.0013268
                     37,                0.83778,                 1.4342,                0.72735,                 1.0849,                0.84416,                0.69076,                0.77031,                0.55877,                0.78143,                0.60306,                0.62554,                0.20022,                 1.0107,                 1.2095,                0.96313,                 1.0483,               0.001307,               0.001307,               0.001307
                     38,                0.84443,                 1.4497,                0.72698,                 1.0819,                0.80475,                0.77798,                0.80274,                0.59163,                0.70089,                0.67758,                0.63069,                0.20645,                  0.977,                 1.1578,                0.94465,                 1.0592,              0.0012872,              0.0012872,              0.0012872
                     39,                0.83527,                 1.4384,                0.72543,                 1.0854,                0.78699,                0.73494,                0.75293,                0.56742,                0.68611,                0.63206,                 0.5958,                0.19616,                0.94483,                 1.1778,                0.97218,                 1.0492,              0.0012674,              0.0012674,              0.0012674
                     40,                0.84512,                 1.4471,                0.72879,                 1.0896,                 0.7718,                0.71989,                0.74639,                0.56463,                0.71997,                0.64659,                0.62989,                0.20494,                0.97127,                 1.1859,                0.98399,                  1.059,              0.0012476,              0.0012476,              0.0012476
                     41,                0.83017,                 1.4329,                0.71992,                  1.084,                0.78773,                0.75502,                0.76304,                0.58403,                0.72208,                0.71084,                0.63581,                0.20818,                0.89948,                 1.1647,                0.93476,                0.98814,              0.0012278,              0.0012278,              0.0012278
                     42,                0.82482,                 1.4258,                0.70668,                 1.0775,                 0.7201,                0.74393,                0.75049,                0.56307,                0.64379,                0.68273,                0.62016,                0.20491,                 0.9537,                 1.1684,                0.99358,                 1.0215,               0.001208,               0.001208,               0.001208
                     43,                  0.822,                 1.4214,                0.69659,                 1.0752,                0.77104,                0.75737,                0.76735,                0.57261,                0.69065,                0.70832,                0.65591,                0.20827,                0.95761,                 1.1716,                0.94286,                 1.0585,              0.0011882,              0.0011882,              0.0011882
