                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.83247,                 1.4146,                0.72554,                 1.0673,                0.82196,                0.74297,                0.77606,                0.57342,                0.72495,                0.66667,                0.63473,                  0.205,                0.96134,                 1.1579,                 1.0034,                 1.0663,              0.0012674,              0.0012674,              0.0012674
                     40,                0.84167,                  1.425,                0.70749,                 1.0584,                0.73525,                0.75904,                0.74938,                0.54428,                0.67222,                0.62249,                0.59093,                0.19769,                0.97744,                 1.1606,                0.97792,                 1.0651,              0.0012476,              0.0012476,              0.0012476
                     41,                0.82393,                 1.4103,                 0.7136,                 1.0628,                0.76908,                0.72691,                0.75244,                0.56247,                0.67062,                0.63454,                 0.5822,                0.18292,                0.96253,                 1.1972,                 1.0003,                 1.0596,              0.0012278,              0.0012278,              0.0012278
                     42,                0.82729,                 1.4146,                0.71193,                 1.0588,                0.79708,                0.71084,                 0.7641,                0.58415,                0.72953,                 0.6506,                0.63712,                0.21434,                0.90602,                 1.1281,                0.91724,                 1.0195,               0.001208,               0.001208,               0.001208
                     43,                0.82132,                 1.4192,                0.70167,                 1.0602,                0.83998,                0.71678,                0.80124,                0.59581,                0.71265,                 0.6506,                0.62402,                0.21363,                0.93866,                  1.193,                0.91444,                 1.0302,              0.0011882,              0.0011882,              0.0011882
                     44,                0.81038,                 1.3793,                0.68465,                 1.0515,                0.81489,                0.74253,                0.79743,                 0.6005,                0.72634,                 0.6506,                0.64741,                0.21715,                0.92669,                 1.1543,                0.94577,                 1.0222,              0.0011684,              0.0011684,              0.0011684
                     45,                0.80821,                  1.396,                0.68641,                 1.0523,                0.79918,                0.73517,                0.79653,                0.61292,                0.71346,                0.66667,                 0.6534,                0.22064,                0.90668,                 1.1471,                0.94131,                 1.0422,              0.0011486,              0.0011486,              0.0011486
                     46,                0.80342,                 1.3841,                0.67481,                 1.0555,                0.79495,                 0.7318,                0.77677,                0.57988,                0.72079,                0.66667,                0.65015,                0.19981,                0.95061,                 1.1721,                0.93709,                 1.0754,              0.0011288,              0.0011288,              0.0011288
                     47,                0.79949,                 1.3769,                 0.6597,                 1.0454,                0.81482,                0.75987,                0.78691,                0.58627,                0.71598,                0.63052,                0.62235,                0.20938,                0.96197,                 1.1926,                0.90791,                 1.0739,               0.001109,               0.001109,               0.001109
                     48,                0.80476,                 1.3714,                0.66082,                 1.0517,                0.81854,                0.72464,                0.78153,                0.59091,                0.69627,                0.64445,                 0.6103,                0.20168,                0.91352,                 1.1724,                0.92596,                 1.0772,              0.0010892,              0.0010892,              0.0010892
                     49,                0.79901,                 1.3838,                0.67336,                 1.0497,                0.80307,                0.73494,                0.77408,                0.59959,                0.70199,                0.67167,                0.63245,                0.21693,                0.89148,                  1.177,                0.91985,                 1.0398,              0.0010694,              0.0010694,              0.0010694
                     50,                0.79823,                 1.3891,                0.66464,                 1.0509,                0.81565,                0.73896,                0.77594,                0.58968,                 0.7383,                0.65462,                0.65829,                 0.2195,                0.94549,                 1.1649,                0.89995,                 1.0795,              0.0010496,              0.0010496,              0.0010496
                     51,                0.79199,                 1.3835,                0.65427,                  1.041,                0.80303,                0.70406,                0.78815,                0.60038,                0.72785,                0.62297,                 0.6446,                0.20636,                0.90445,                 1.1808,                0.91849,                 1.0151,              0.0010298,              0.0010298,              0.0010298
